cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:M1	ATTRIBUTE_condition:GNPSGROUP:PA14	ATTRIBUTE_condition:GNPSGROUP:QC	ATTRIBUTE_condition:GNPSGROUP:media
96	237.1343637435249	0.43401593	33306632.333333332	29172856.666666668	24402151.333333332	32509951.6
93	233.1493315757552	0.4351072	0.0	38020153.333333336	46919805.333333336	382451586.0
91	221.09521750310705	0.4357241	0.0	0.0	0.0	31050778.0
92	269.10868475380613	0.43632883	0.0	12707118.833333334	0.0	0.0
87	241.11550888991005	0.43814403	0.0	5945061.833333333	12084977.666666666	60652804.0
90	398.2031257375508	0.4407019	26767625.666666668	59806748.333333336	19101733.666666668	62722288.0
110	299.10017741781974	0.44717756	6106946.0	11250839.75	1025383.75	10261232.2
103	269.10684849653273	0.45233008	15576167.5	4150981.8333333335	9348350.5	4295503.2
99	479.2529224998433	0.46024066	0.0	0.0	0.0	28088385.2
98	279.137070468051	0.46635795	0.0	34417200.0	4600886.0	33383206.8
97	253.1180253339469	0.46799776	0.0	19316727.833333332	1121404.6666666667	31169391.2
106	287.10319690673947	0.469332	0.0	19503629.333333332	0.0	15281680.8
104	176.06564377717402	0.4696531	0.0	7283641.083333333	6575490.166666667	5714374.8
112	154.08384243142902	0.4804698	0.0	7711356.333333333	0.0	8967965.4
107	265.1217175456182	0.48379406	0.0	50355088.666666664	4178064.4166666665	55227400.8
115	132.1019957729485	0.49902377	215799301.66666666	1181062983.3333333	686129485.0	1314794060.0
121	322.1869181616321	0.4995931	0.0	0.0	4911280.5	17885738.6
105	288.202735126956	0.5030163	22905915.333333332	28295399.833333332	102314810.0	1210415760.0
117	251.10580510990536	0.50418746	0.0	0.0	0.0	12700750.2
129	429.2702195987149	0.5066346	0.0	0.0	12557913.5	137073240.0
109	215.1389156697953	0.5089228	15390496.166666666	64163355.333333336	304321485.0	2573945580.0
101	237.12063790806096	0.5129476	0.0	0.0	9564218.916666666	31449322.2
118	301.12961009940176	0.52425975	16108895.666666666	16821842.333333332	8817697.833333334	10252884.8
122	226.1547721624975	0.5308568	170708553.33333334	140977820.0	99034520.33333333	80724987.2
124	437.250460810673	0.53162277	0.0	0.0	0.0	20997840.0
123	292.1652019810201	0.5320484	76254182.66666667	79537284.66666667	49473750.333333336	60002644.8
139	283.1263332614957	0.53605205	0.0	42742242.666666664	12333486.666666666	32254117.6
128	290.1707867113289	0.54411954	0.0	7470010.166666667	0.0	19272448.0
127	270.1556504623275	0.5442788	15544509.5	14623526.0	8912989.416666666	15160572.6
100	261.144321178044	0.5567441	18158976.666666668	223322453.33333334	80869921.0	198581420.0
133	262.14781333639905	0.55928016	0.0	28165797.666666668	10168339.5	24984359.6
131	521.2818448998994	0.5633924	0.0	2872446.4166666665	0.0	0.0
135	344.1813999777492	0.5635989	15088507.5	30648520.0	18754023.333333332	29179328.8
134	269.1130065255939	0.5655288	0.0	15598767.833333334	0.0	23049070.4
136	213.123210343509	0.56747264	14090324.833333334	13246234.666666666	11055573.0	23428578.4
125	219.1338592205813	0.5680733	20794300.666666668	32964216.333333332	23285521.166666668	39823145.2
130	239.1024044068479	0.5710981	0.0	15431819.5	0.0	21162996.4
137	200.12804453938733	0.5722326	29321966.0	28967891.666666668	21497620.333333332	32360120.4
142	320.1714762365788	0.5799507	79982675.66666667	85800447.66666667	63156729.0	130561468.8
140	211.10504704293407	0.5805258	0.0	0.0	8131215.333333333	39249184.4
147	203.1389152549688	0.5812598	0.0	3178771.8333333335	23446855.0	175400620.0
145	288.2028409064772	0.5859454	55395914.666666664	66111353.333333336	111128131.0	78642083.0
144	189.1232920424393	0.5908274	6176683.333333333	47529497.666666664	68198945.0	575565240.0
149	454.3025451756607	0.5927892	5954341.25	2267121.6666666665	0.0	1240933.6
148	228.17053905579533	0.5945277	136310720.0	149091755.0	105930634.0	209657054.0
146	170.60251007055302	0.5967938	0.0	13914835.333333334	0.0	35564296.8
151	247.11089649082305	0.5975418	0.0	40526178.0	32768989.333333332	362152412.0
150	340.1976174562242	0.59877723	0.0	44421244.0	2165294.5	122805036.8
152	227.6546355656674	0.6036682	11334686.583333334	9719760.583333334	5855698.583333333	10954926.2
156	253.11799077613955	0.60522807	0.0	52425823.333333336	17105567.833333332	145352388.0
153	204.1177806589142	0.6092122	0.0	14868137.666666666	0.0	28942736.0
159	255.16459829142943	0.6099972	30575022.333333332	32843989.666666668	20351565.666666668	36890202.0
154	254.1609192897542	0.61181843	249776621.66666666	261454221.66666666	194714756.66666666	290922372.0
155	472.2763329144877	0.6122048	8107758.5	17634695.5	1285767.6666666667	26347502.0
157	294.18101558697515	0.6136774	4837556.666666667	30185006.666666668	17979172.25	399293536.0
158	286.175789747042	0.6137098	0.0	18880283.5	5530377.666666667	55918182.4
161	229.1181828917095	0.6211827	5864500.75	9276480.833333334	2800272.25	13313592.4
160	295.1758464617512	0.622218	25948943.0	25490219.0	11745999.666666666	15013281.0
170	215.138936435967	0.6280406	11888063.0	5430845.333333333	15822400.5	122104163.2
162	182.08113737624	0.630497	5735936.75	12657435.166666666	2042886.25	14102728.6
164	433.3017460913703	0.6365005	0.0	0.0	0.0	41996432.0
167	273.1318170606829	0.6371687	20714195.333333332	23866442.333333332	19994165.833333332	27320642.0
165	251.1500888987404	0.63776106	402753111.6666667	468598285.0	307455736.6666667	620201252.0
168	557.2600585812328	0.64466166	0.0	0.0	0.0	33851443.2
166	239.1362554277292	0.6465334	0.0	0.0	15588098.833333334	43090905.6
171	217.1545522296895	0.6496198	13985726.5	24230520.666666668	130935221.33333333	1304615380.0
169	301.115722558123	0.6507213	0.0	14175991.833333334	0.0	21803884.4
207	132.10188264261868	0.6524082	0.0	32216861.0	7079922.833333333	43727985.6
172	279.13378347740337	0.6545193	6875701.666666667	273886873.3333333	101906957.0	957943734.0
173	199.1076148078291	0.6594112	33179030.0	35908462.0	29689645.666666668	40943801.6
175	256.17654983070213	0.6618272	116844719.33333333	113907081.66666667	85522660.0	123953212.4
174	267.13362744246666	0.6626243	0.0	45811902.0	13183183.0	93996288.8
176	344.18162815551733	0.66391665	17393452.5	18251885.0	15221016.0	22973668.0
178	276.1551216021758	0.667822	0.0	0.0	0.0	81061125.6
177	417.2449891325933	0.6821133	0.0	0.0	13006257.666666666	145120454.0
180	195.12891725784183	0.6849703	0.0	12640183.666666666	0.0	73916460.8
179	322.18703728397526	0.6853326	30271462.0	32657337.666666668	38324974.666666664	551570772.0
181	361.2440352893104	0.68736655	0.0	56061608.0	14941667.666666666	141980554.0
184	362.191842164758	0.6889886	18193878.166666668	25190373.333333332	12923735.5	37285389.2
185	366.2133848466533	0.6904641	15717960.333333334	18466824.833333332	10122161.5	20276240.8
187	348.1762777896019	0.6912597	0.0	13251692.0	0.0	23517689.2
183	313.12128075900443	0.69249433	0.0	24029827.666666668	0.0	28896366.8
182	389.2502633375549	0.69257253	0.0	90877789.66666667	27080721.666666668	254621028.0
190	291.0430482231281	0.6960738	29680993.666666668	0.0	11989199.0	0.0
186	149.05962975386964	0.69612366	0.0	12521447.5	1127148.3333333333	22598893.6
188	120.08088416817088	0.69863856	0.0	108633076.66666667	59567369.666666664	218109108.0
192	166.08620678728357	0.7005884	105903155.66666667	1945756000.0	1079955290.0	3588601080.0
193	241.1154993380871	0.70277804	0.0	43458552.666666664	17519121.166666668	107620913.2
189	320.1814106264264	0.7075404	0.0	23612068.333333332	4412716.166666667	42095762.4
194	676.3328783975672	0.7097289	162292217.33333334	0.0	84360476.0	0.0
195	451.2243974628496	0.71029633	101881709.0	0.0	39087177.0	0.0
197	245.09515738328537	0.7145133	20710727.0	52358997.333333336	30428271.666666668	59389761.6
198	267.07699222091867	0.71510965	34902911.666666664	25343558.0	25506117.666666668	24757079.6
199	1333.6133659149662	0.718684	29510477.0	0.0	0.0	0.0
200	272.1601547119689	0.72181046	0.0	19852365.5	2156931.5833333335	28460821.2
205	667.3095358255222	0.72227985	419819265.0	0.0	130121921.66666667	0.0
196	203.13885741762945	0.72284806	0.0	13074678.166666666	27140747.0	233317080.0
204	190.1072266548435	0.7228595	30835621.666666668	10133851.0	27782250.0	0.0
202	659.3121788551292	0.7228603	35429127.666666664	0.0	14300615.0	0.0
203	678.2991154263221	0.7228603	41461716.333333336	0.0	19367913.333333332	0.0
208	339.1660515462349	0.7308841	31680162.333333332	40623050.333333336	22236043.666666668	51628487.2
206	295.1285827589136	0.7314752	10875625.333333334	68679719.0	19743311.333333332	82447139.2
210	479.1868829912203	0.73321724	36260829.333333336	34062679.666666664	32957858.0	0.0
211	501.1688699918351	0.7332175	22334193.0	19611039.333333332	20143717.0	0.0
209	652.3044074215018	0.73458534	22288428.666666668	0.0	6741175.083333333	0.0
212	286.1756849014536	0.7365429	1256954.4166666667	234752400.0	51677827.333333336	403783526.0
213	379.69279738006594	0.73715013	88436229.33333333	0.0	38897096.666666664	0.0
201	219.13375545714567	0.7421952	29706487.333333332	218851856.66666666	101595786.66666667	739526028.0
217	243.13370919143617	0.74720407	13617595.5	22278001.0	11172898.333333334	63298661.6
216	693.7652289716085	0.74744254	42282427.666666664	0.0	25603164.0	0.0
250	249.1264145755905	0.7525609	0.0	47951236.666666664	14803211.166666666	193392694.0
219	336.15823744611725	0.75289196	0.0	38739161.0	11591948.333333334	61867257.2
231	233.149341410022	0.75452006	29722092.666666668	171342393.33333334	83362602.33333333	438897076.0
223	189.12317721874103	0.7546991	0.0	189829758.33333334	58010652.0	285622312.0
218	304.18651909591057	0.7548656	0.0	20528008.166666668	6526743.5	111125664.8
222	358.19675601975365	0.75508523	51608176.666666664	93614821.66666667	40174310.666666664	129784636.0
220	412.1709323661094	0.7552388	1220709.25	24053623.666666668	9585509.333333334	34940243.6
225	227.1023941113424	0.7611349	30892606.333333332	30374346.666666668	24063294.666666668	32170475.6
228	679.785911138352	0.76692766	15758095.0	0.0	0.0	0.0
226	561.2917026162901	0.76944685	0.0	2562798.5	0.0	55813948.4
227	409.2053635307919	0.7714252	14372323.166666666	13663948.333333334	13408734.5	16557602.6
191	316.1863576572177	0.77174455	32105014.666666668	80795590.0	37530670.333333336	143157326.0
230	1334.5974483376517	0.7718525	23127439.0	0.0	0.0	0.0
234	281.14926634425854	0.77225584	0.0	254212003.33333334	46737789.666666664	668227530.0
