row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,Unnamed: 36
31,247.12862908053788,0.2963268,height,,,,,,,,,,,13054439.0,8531305.0,9056735.0,0.0,0.0,11105888.0,96728300.0,84421850.0,61575596.0,58909440.0,75333390.0,75488110.0,27724954.0,32132168.0,27929168.0,28335100.0,23191268.0,25554022.0,107113510.0,112260370.0,115082410.0,101384100.0,94772670.0,
32,162.0501094547666,0.30393255,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9434708.0,7991334.0,9058120.0,8636416.0,9247236.0,10121744.0,0.0,0.0,0.0,0.0,0.0,0.0,6381328.5,6833869.0,6418605.0,6234514.5,0.0,
23,274.1869727542943,0.31156906,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,29076124.0,30128916.0,22276360.0,21086164.0,27881874.0,25052344.0,50447100.0,49719148.0,41215330.0,36207856.0,34849850.0,34054800.0,304847740.0,271666370.0,303401380.0,232405710.0,253532000.0,
34,338.14319208602143,0.3120601,height,,,,,,,,,,,115808150.0,120916160.0,123236740.0,115990616.0,121760536.0,137990800.0,11955357.0,8833358.0,6870843.5,6226310.5,8838923.0,8886045.0,113528570.0,98846904.0,77135820.0,72521090.0,71524520.0,67850690.0,0.0,0.0,0.0,0.0,0.0,
35,354.1170456017642,0.31255445,height,,,,,,,,,,,31144282.0,30162318.0,33143308.0,27922884.0,29208856.0,39391664.0,0.0,0.0,0.0,0.0,0.0,0.0,29986184.0,26934528.0,21728270.0,21184738.0,21460384.0,19366426.0,0.0,0.0,0.0,0.0,0.0,
36,316.1613404668096,0.31312546,height,,,,,,,,,,,42519910.0,45513416.0,45351730.0,42752784.0,46852492.0,50665080.0,0.0,0.0,0.0,0.0,0.0,0.0,55338960.0,47808972.0,37807490.0,35500340.0,36015984.0,32264060.0,0.0,0.0,0.0,0.0,0.0,
37,202.15484473911292,0.31426403,height,,,,,,,,,,,37347576.0,36954024.0,40113748.0,37282616.0,38262550.0,40386760.0,0.0,0.0,0.0,0.0,0.0,0.0,23491838.0,21322828.0,20061312.0,19936968.0,17130188.0,18258944.0,0.0,0.0,0.0,0.0,0.0,
33,361.2193972641445,0.31478083,height,,,,,,,,,,,8448730.0,10175308.0,9537482.0,12263263.0,12479228.0,8645736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,269.11133300339765,0.317835,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,29497514.0,21161938.0,16663402.0,14992784.0,20290818.0,20192532.0,0.0,9951171.0,8417090.0,0.0,0.0,0.0,18345576.0,20467502.0,18832534.0,20174214.0,16948998.0,
38,286.1507502708131,0.31856441,height,,,,,,,,,,,29197834.0,26008740.0,26581836.0,22835696.0,30134522.0,32300270.0,65749972.0,40865524.0,27463596.0,30071242.0,42584260.0,44458590.0,36884200.0,33682024.0,23443306.0,22964088.0,25232196.0,22466928.0,64039930.0,63818916.0,64874410.0,48412040.0,44441904.0,
39,265.1217751411842,0.3188666,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45619510.0,27881512.0,14347037.0,19267390.0,25375888.0,36969200.0,0.0,0.0,0.0,0.0,0.0,0.0,35510760.0,38637740.0,39824144.0,30506272.0,39764020.0,
42,371.2397733371222,0.3254602,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107847200.0,87436936.0,90943190.0,82678630.0,72403720.0,
41,186.1235141348752,0.32730666,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23936056.0,16677253.0,0.0,0.0,0.0,0.0,236589820.0,179258600.0,190205120.0,173404100.0,136807540.0,
44,144.60505904938262,0.32818016,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66232716.0,61888010.0,66231932.0,57088252.0,46334570.0,
45,288.2025569356466,0.3311944,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46775470.0,12917037.0,0.0,0.0,0.0,0.0,916697700.0,996469060.0,1036419600.0,866624100.0,782261700.0,
